smiles,n_success_mut,n_failures_mut,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,total,obj_computation_time,history_data
PCOCNCl,1,0,0.5,0.0,1.0,1.1336513757705688,1.0,1.1336513757705688,0.5,0.037934064865112305,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|InsA-1|Sub-17
CCPOCNCl,0,0,0.5,0.0,1.0,1.1441662311553955,1.0,1.1441662311553955,0.5,0.050769805908203125,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|InsA-1|Sub-17|MoveFG-115_InsA-39
PC1CCC1S,0,0,0.5,0.0,1.0,0.9118623733520508,1.0,0.9118623733520508,0.5,0.03991866111755371,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-1406_InsA-1|ChB-703_AddA-13
C=PCCl,0,0,0.5,0.0,1.0,1.1596355438232422,1.0,1.1596355438232422,0.5,0.028405189514160156,C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-14
PNCCSCl,0,0,0.5,0.0,1.0,1.5949143171310425,1.0,1.5949143171310425,0.5,0.13312888145446777,C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|AddA-20
N=NCCN,0,0,0.5,0.0,1.0,1.1597955226898193,1.0,1.1597955226898193,0.5,0.11800789833068848,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-9_ChB-1406|InsA-1_InsA-73
PCOC(Cl)SS,0,0,0.5,0.0,1.0,1.4324251413345337,1.0,1.4324251413345337,0.5,0.12180805206298828,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|AddA-53
C1=CC1,0,0,0.5,0.0,1.0,1.0108401775360107,1.0,1.0108401775360107,0.5,0.03235602378845215,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-1406_ChB-776|RmA-3
C=CCPP,0,0,0.5,0.0,1.0,0.9069809913635254,1.0,0.9069809913635254,0.5,0.06352901458740234,C|AddA-15|Sub-8|ChB-1406|AddA-20_AddA-11|RmA-3_InsA-37|AddA-28
FC1PC#S1,0,0,0.5,0.0,1.0,1.6317933797836304,1.0,1.6317933797836304,0.5,0.03217601776123047,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-37|Sub-36|ChB-2109
CC(P)C(F)S,1,0,0.5,0.0,1.0,1.0482242107391357,1.0,1.0482242107391357,0.5,0.06312108039855957,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-37|AddA-44
CC(C)C(F)S,0,0,0.5,0.0,1.0,1.0798650979995728,1.0,1.0798650979995728,0.5,0.05718803405761719,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-37|AddA-44|InsA-142_RmA-5
